Ano;MunicipioResidencia;NotaCh;NotaCn;NotaLc;NotaMt;UfResidencia;CoUfResidencia;Idade;NotaComp1;NotaComp2;NotaComp3;NotaComp4;NotaComp5;NotaRedacao;CorRaca;DependenciaAdmEsc;LocalizacaoEsc;StConclusao;StatusRedacao
2017;Macapá;647.1;595;512.8;555.2;AP;16;18;120;180;120;120;100;640;2;2;1;2;1
2017;Santana;564.2;412.1;472.4;560.3;AP;16;17;120;120;100;100;40;480;3;2;1;2;1
2017;Santana;574;495.2;532.5;532.9;AP;16;18;120;140;100;120;120;600;3;4;1;2;1
2017;Santa Fé do Araguaia;513.1;546.5;525.3;576.8;TO;17;17;120;40;40;120;60;380;3;2;1;2;1
2017;Natividade;369.3;503.8;510.1;363.2;TO;17;21;80;80;80;60;20;320;2;2;1;2;1
2017;Palmas;604.3;571.5;532.2;527.9;TO;17;17;120;140;140;120;100;620;3;2;1;2;1
2017;Santana;544.9;530.6;538.4;512;AP;16;16;140;120;140;160;120;680;3;2;1;2;1
2017;Araguaína;539.9;509.3;520.3;485.4;TO;17;18;120;160;140;140;80;640;3;2;1;2;1
2017;Araguaína;597;443.3;498.6;399.7;TO;17;15;180;120;160;200;140;800;3;2;1;2;1
2017;Palmas;598.1;406.1;570.2;547.7;TO;17;18;120;120;140;120;100;600;3;2;1;2;1
2017;Macapá;640.7;495.8;577.5;394.5;AP;16;17;140;120;100;140;100;600;1;4;1;2;1
2017;Paraíso do Tocantins;578.6;526.9;535.3;572.5;TO;17;17;140;120;120;140;80;600;2;2;1;2;1
2017;Macapá;560.2;449.9;528.5;671.2;AP;16;17;120;120;120;100;120;580;2;4;1;2;1
2017;Macapá;481;490.4;546.5;492.9;AP;16;17;120;120;120;120;100;580;3;1;1;2;1
2017;Vitória do Jari;573;462.8;515.2;480.4;AP;16;16;160;120;120;120;140;660;3;2;1;2;1
2017;Palmas;400;415.8;473;448.8;TO;17;18;80;80;80;80;40;360;3;2;1;2;1
2017;Santana;640.2;503.8;603.1;536.5;AP;16;17;140;120;120;120;80;580;1;2;1;2;1
2017;Palmas;650.9;603.6;588.6;837.8;TO;17;17;160;160;160;200;160;840;3;2;1;2;1
2017;Porto Nacional;645.6;646.6;578.3;603.9;TO;17;19;160;120;160;160;160;760;3;2;1;2;1
2017;Macapá;617.4;553.1;564.5;451.3;AP;16;18;100;180;120;120;140;660;1;2;1;2;1
2017;Santana;555.1;512.3;572.2;630.1;AP;16;18;140;140;140;140;160;720;1;2;1;2;1
2017;Colinas do Tocantins;527.9;495.5;534.9;428.7;TO;17;19;120;120;80;120;0;440;3;2;1;2;1
2017;Araguaína;475.8;527.5;503.1;458;TO;17;18;120;120;100;120;160;620;3;2;1;2;1
2017;São Bento do Tocantins;460.2;434.3;533.2;398.5;TO;17;18;120;120;100;120;80;540;1;2;1;2;1
2017;Xambioá;608.5;568.8;569.4;633.4;TO;17;17;120;120;120;120;100;580;1;2;1;2;1
2017;Mazagão;531.9;481.2;468.3;388.3;AP;16;17;160;160;180;160;140;800;1;2;1;2;1
2017;Ferreira Gomes;592.5;469.9;567.8;483.4;AP;16;17;120;160;120;100;80;580;1;2;1;2;1
2017;Macapá;541.5;569;563.3;564.4;AP;16;18;120;80;120;100;60;480;3;2;1;2;1
2017;Araguaína;618.1;547.2;591.2;454.5;TO;17;17;160;200;180;200;180;920;2;2;1;2;1
2017;Manaus;645.7;593.4;562.3;572.8;AM;16;17;160;120;140;140;120;680;3;2;1;2;1
2017;Conceição do Tocantins;584.5;436.6;576.7;612.1;TO;17;16;140;160;160;180;120;760;3;2;1;2;1
2017;Carmolândia;550.8;532.9;572.4;586.8;TO;17;17;160;120;120;140;40;580;3;2;1;2;1
2017;Palmas;532.5;539.5;474.7;584.6;TO;17;18;160;160;180;160;120;780;3;4;1;2;1
2017;Macapá;576.3;613.4;507.9;490.6;AP;16;17;160;160;120;120;120;680;3;2;1;2;1
